IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
42b8a9,rdx,90563,10047,masked,<__drand48_iterate>,shl,"shl, $0x10,%edx",1,0,0.0,71.2871287128713,28.712871287128714
404046,rdx,494045,682,crash,<InitX>,mov,"mov, -0x28(%rbp),%rdx",0,1,0.022905,70.58823529411765,29.41176470588235
42b7d1,rbp,596557,3268,crash,<__erand48_r>,mov,"mov, %rdx,%rbp",0,1,0.028725,69.90291262135922,30.097087378640776
42b7d1,rbp,767218,3990,masked,<__erand48_r>,mov,"mov, %rdx,%rbp",1,0,0.038413,70.1923076923077,29.807692307692307
42b8c1,rax,1063028,11835,masked,<__drand48_iterate>,shr,"shr, $0x20,%rax",1,0,0.055206,70.47619047619048,29.523809523809526
42b897,rax,1135917,7309,masked,<__drand48_iterate>,movzwl,"movzwl, 0x4(%rdi),%eax",1,0,0.059344,70.75471698113208,29.245283018867923
42b7d8,rsp,1217407,7420,crash,<__erand48_r>,sub,"sub, $0x18,%rsp",0,1,0.06397,71.02803738317758,28.97196261682243
42b8c5,rdx,1222522,10918,masked,<__drand48_iterate>,shr,"shr, $0x10,%rdx",1,0,0.064261,71.29629629629629,28.703703703703702
42b7fe,rcx,1258920,5657,masked,<__erand48_r>,movzwl,"movzwl, (%rbx),%ecx",1,0,0.066327,71.55963302752293,28.440366972477065
42b7ef,rcx,1431963,2985,masked,<__erand48_r>,shl,"shl, $0x4,%ecx",1,0,0.076151,71.81818181818181,28.181818181818183
42b8a5,rdx,1655029,7767,masked,<__drand48_iterate>,movzwl,"movzwl, 0x2(%rdi),%edx",1,0,0.088814,72.07207207207207,27.92792792792793
42b824,xmm0,1772357,1887,masked,<__erand48_r>,movsd,"movsd, 0x8(%rsp),%xmm0",1,0,0.095475,72.32142857142857,27.678571428571427
42b7ac,rsp,2098707,7899,crash,<drand48>,add,"add, $0x18,%rsp",0,1,0.114001,72.56637168141593,27.43362831858407
42b7fc,rax,2151805,337,masked,<__erand48_r>,or,"or, %ecx,%eax",1,0,0.117016,71.9298245614035,28.07017543859649
42b7d0,rsp,2249428,10142,crash,<__erand48_r>,push,"push, %rbp",0,1,0.122558,71.30434782608695,28.695652173913043
42b7d8,rsp,2258905,7500,crash,<__erand48_r>,sub,"sub, $0x18,%rsp",0,1,0.123096,71.55172413793103,28.448275862068964
42b794,rsi,2304186,977,crash,<drand48>,mov,"mov, $0x709750,%esi",0,1,0.125666,71.7948717948718,28.205128205128204
42b8a2,rax,2402946,5721,masked,<__drand48_iterate>,or,"or, %rdx,%rax",1,0,0.131273,71.1864406779661,28.8135593220339
42b897,rax,2412598,10197,masked,<__drand48_iterate>,movzwl,"movzwl, 0x4(%rdi),%eax",1,0,0.131821,71.42857142857143,28.571428571428573
42b815,rcx,2689822,11,masked,<__erand48_r>,shl,"shl, $0x4,%ecx",1,0,0.147559,70.83333333333333,29.166666666666668
42b7e9,rcx,2728537,10189,masked,<__erand48_r>,movzwl,"movzwl, 0x4(%rbx),%ecx",1,0,0.149756,71.07438016528926,28.925619834710744
42b8ac,rax,2781892,5493,masked,<__drand48_iterate>,or,"or, %rdx,%rax",1,0,0.152785,71.31147540983606,28.688524590163933
404084,rbx,3014008,3984,crash,<InitX>,lea,"lea, (%rdx,%rax,1),%rbx",0,1,0.165963,71.54471544715447,28.45528455284553
42b818,rcx,3188222,10592,masked,<__erand48_r>,or,"or, %esi,%ecx",1,0,0.175853,71.7741935483871,28.225806451612904
42b81a,rax,3291015,12287,masked,<__erand48_r>,or,"or, %rcx,%rax",1,0,0.181688,71.2,28.8
40406d,rax,3294131,10894,crash,<InitX>,mov,"mov, -0x18(%rbp),%rax",0,1,0.181865,71.42857142857143,28.571428571428573
42b89b,rdx,3546947,7416,masked,<__drand48_iterate>,movzwl,"movzwl, (%rdi),%edx",1,0,0.196217,70.86614173228347,29.133858267716537
42b7ed,rax,3579191,4848,masked,<__erand48_r>,mov,"mov, %esi,%eax",1,0,0.198048,71.09375,28.90625
42b7e9,rcx,3687775,3196,masked,<__erand48_r>,movzwl,"movzwl, 0x4(%rbx),%ecx",1,0,0.204212,70.54263565891473,29.45736434108527
42b7d1,rbp,3794116,2618,crash,<__erand48_r>,mov,"mov, %rdx,%rbp",0,1,0.210249,70.0,30.0
42b890,rflags,4307378,8962,masked,<__drand48_iterate>,ate>:,ate>:,1,0,0.239386,69.46564885496183,30.53435114503817
42b7e5,rsi,4452076,8915,masked,<__erand48_r>,movzwl,"movzwl, 0x2(%rbx),%esi",1,0,0.247601,69.6969696969697,30.303030303030305
42b812,rax,4573773,8323,masked,<__erand48_r>,or,"or, %rdx,%rax",1,0,0.25451,69.92481203007519,30.075187969924812
42b8b8,rax,4609683,4262,masked,<__drand48_iterate>,add,"add, %rdx,%rax",1,0,0.256548,70.14925373134328,29.850746268656717
42b80e,rdx,4649895,8841,masked,<__erand48_r>,shl,"shl, $0x20,%rdx",1,0,0.258831,70.37037037037037,29.62962962962963
42b822,rax,4928842,4504,masked,<__erand48_r>,xor,"xor, %eax,%eax",1,0,0.274667,70.58823529411765,29.41176470588235
42b7d1,rbp,5140360,12034,crash,<__erand48_r>,mov,"mov, %rdx,%rbp",0,1,0.286674,70.8029197080292,29.197080291970803
42b801,rdx,5154720,6250,masked,<__erand48_r>,mov,"mov, %rax,%rdx",1,0,0.28749,71.01449275362319,28.985507246376812
42b794,rsi,5221329,8855,masked,<drand48>,mov,"mov, $0x709750,%esi",1,0,0.291271,70.50359712230215,29.496402877697843
42b8a5,rdx,5225671,2049,masked,<__drand48_iterate>,movzwl,"movzwl, 0x2(%rdi),%edx",1,0,0.291518,70.0,30.0
42b837,rsp,5233012,2903,crash,<__erand48_r>,add,"add, $0x18,%rsp",0,1,0.291934,70.2127659574468,29.78723404255319
42b8a9,rdx,5552480,11149,masked,<__drand48_iterate>,shl,"shl, $0x10,%edx",1,0,0.31007,70.4225352112676,29.577464788732396
42b8c5,rdx,5667100,4453,masked,<__drand48_iterate>,shr,"shr, $0x10,%rdx",1,0,0.316577,70.62937062937063,29.37062937062937
42b812,rax,5869530,11980,masked,<__erand48_r>,or,"or, %rdx,%rax",1,0,0.328069,70.83333333333333,29.166666666666668
42b7fc,rax,6143098,7146,masked,<__erand48_r>,or,"or, %ecx,%eax",1,0,0.343599,71.03448275862068,28.96551724137931
40409e,rax,6168159,2200,masked,<InitX>,mov,"mov, 0x30517b(%rip),%rax",1,0,0.345022,71.23287671232876,28.767123287671232
42b790,rsp,6190685,10514,crash,<drand48>,sub,"sub, $0x18,%rsp",0,1,0.346301,71.42857142857143,28.571428571428573
404051,rdx,6251474,12583,masked,<InitX>,mov,"mov, %rax,%rdx",1,0,0.349752,71.62162162162163,28.37837837837838
42b83c,rsp,6372159,5253,crash,<__erand48_r>,pop,"pop, %rbp",0,1,0.356603,71.14093959731544,28.859060402684563
42b7fc,rax,6431053,885,masked,<__erand48_r>,or,"or, %ecx,%eax",1,0,0.359946,70.66666666666667,29.333333333333332
42b8a5,rdx,6535057,10238,masked,<__drand48_iterate>,movzwl,"movzwl, 0x2(%rdi),%edx",1,0,0.365851,70.86092715231788,29.13907284768212
42b7fe,rcx,6756926,9148,masked,<__erand48_r>,movzwl,"movzwl, (%rbx),%ecx",1,0,0.378446,71.05263157894737,28.94736842105263
42b837,rsp,6912907,7042,crash,<__erand48_r>,add,"add, $0x18,%rsp",0,1,0.387301,71.24183006535948,28.758169934640524
42b7f2,rsi,7110640,5870,masked,<__erand48_r>,shl,"shl, $0x14,%esi",1,0,0.398526,70.77922077922078,29.22077922077922
42b7a6,xmm0,7240537,8861,masked,<drand48>,movsd,"movsd, 0x8(%rsp),%xmm0",1,0,0.4059,70.96774193548387,29.032258064516128
42b837,rsp,7268146,12579,crash,<__erand48_r>,add,"add, $0x18,%rsp",0,1,0.407468,71.15384615384616,28.846153846153847
42b7d1,rbp,7427998,7705,crash,<__erand48_r>,mov,"mov, %rdx,%rbp",0,1,0.416543,71.3375796178344,28.662420382165607
42b82a,xmm0,7471743,7414,masked,<__erand48_r>,subsd,"subsd, 0xa23a6(%rip),%xmm0",1,0,0.419026,70.88607594936708,29.11392405063291
42b8c1,rax,7746455,2114,masked,<__drand48_iterate>,shr,"shr, $0x20,%rax",1,0,0.434621,71.06918238993711,28.930817610062892
404051,rdx,7879178,6342,masked,<InitX>,mov,"mov, %rax,%rdx",1,0,0.442156,71.25,28.75
42b7ac,rsp,7889525,4384,crash,<drand48>,add,"add, $0x18,%rsp",0,1,0.442743,70.80745341614907,29.19254658385093
42b83b,rsp,8049245,6090,crash,<__erand48_r>,pop,"pop, %rbx",0,1,0.45181,70.37037037037037,29.62962962962963
42b7fc,rax,8122240,9945,masked,<__erand48_r>,or,"or, %ecx,%eax",1,0,0.455954,70.5521472392638,29.447852760736197
42b89e,rax,8124032,10873,masked,<__drand48_iterate>,shl,"shl, $0x20,%rax",1,0,0.456056,70.73170731707317,29.26829268292683
42b8b8,rax,8185420,1967,masked,<__drand48_iterate>,add,"add, %rdx,%rax",1,0,0.459541,70.9090909090909,29.09090909090909
42b822,rax,8273309,6290,masked,<__erand48_r>,xor,"xor, %eax,%eax",1,0,0.46453,71.08433734939759,28.91566265060241
42b801,rdx,8315895,845,masked,<__erand48_r>,mov,"mov, %rax,%rdx",1,0,0.466948,70.65868263473054,29.34131736526946
42b7f5,rax,8989622,12361,masked,<__erand48_r>,shr,"shr, $0xc,%ax",1,0,0.505195,70.23809523809524,29.761904761904763
42b822,rax,9004549,10034,masked,<__erand48_r>,xor,"xor, %eax,%eax",1,0,0.506043,70.41420118343196,29.585798816568047
42b8a2,rax,9039279,7055,masked,<__drand48_iterate>,or,"or, %rdx,%rax",1,0,0.508014,70.58823529411765,29.41176470588235
404080,rax,9158496,11875,crash,<InitX>,mov,"mov, -0x38(%rbp),%rax",0,1,0.514782,70.76023391812865,29.239766081871345
42b7d0,rsp,9405039,8300,crash,<__erand48_r>,push,"push, %rbp",0,1,0.528778,70.93023255813954,29.069767441860463
42b824,xmm0,9621956,9650,masked,<__erand48_r>,movsd,"movsd, 0x8(%rsp),%xmm0",1,0,0.541092,71.09826589595376,28.90173410404624
42b7d8,rsp,9735014,12290,crash,<__erand48_r>,sub,"sub, $0x18,%rsp",0,1,0.547511,71.26436781609195,28.735632183908045
42b8cd,rax,9891991,11895,masked,<__drand48_iterate>,xor,"xor, %eax,%eax",1,0,0.556422,70.85714285714286,29.142857142857142
42b79e,rdi,10052504,3064,crash,<drand48>,mov,"mov, %rsi,%rdi",0,1,0.565534,71.02272727272727,28.977272727272727
42b7f9,rax,10350264,5936,masked,<__erand48_r>,movzwl,"movzwl, %ax,%eax",1,0,0.582438,71.1864406779661,28.8135593220339
42b79e,rdi,10623275,83,masked,<drand48>,mov,"mov, %rsi,%rdi",1,0,0.597937,71.34831460674157,28.651685393258425
40404d,rax,10812826,7609,crash,<InitX>,shl,"shl, $0x4,%rax",0,1,0.608698,71.50837988826815,28.491620111731844
42b7fe,rcx,11024291,214,masked,<__erand48_r>,movzwl,"movzwl, (%rbx),%ecx",1,0,0.620702,71.66666666666667,28.333333333333332
42b837,rsp,11286292,1762,crash,<__erand48_r>,add,"add, $0x18,%rsp",0,1,0.635576,71.8232044198895,28.176795580110497
