IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
49162b,rbp,1428,8575,crash,,,,0,1,0.0,34.65346534653465,65.34653465346534
411400,xmm0,1975,3886,masked,,,,1,0,0.004171,34.31372549019608,65.68627450980392
461e90,r14,2030,1353,crash,,,,0,1,0.00459,33.980582524271846,66.01941747572816
493e2d,r8,2524,14355,crash,,,,0,1,0.008357,34.61538461538461,65.38461538461539
484f33,rdx,3685,14750,crash,,,,0,1,0.017209,34.285714285714285,65.71428571428571
49260c,rflags,3742,8355,crash,,,,0,1,0.017644,34.905660377358494,65.09433962264151
47229b,rax,4906,12668,crash,,,,0,1,0.026519,34.57943925233645,65.42056074766356
48017a,rcx,5622,7755,crash,,,,0,1,0.031978,34.25925925925926,65.74074074074075
4801a6,rsp,5715,1950,masked,,,,1,0,0.032687,34.862385321100916,65.13761467889908
46fbb0,rflags,6770,12635,crash,,,,0,1,0.040731,35.45454545454545,64.54545454545455
455ca2,rsp,7318,7412,masked,,,,1,0,0.04491,35.13513513513514,64.86486486486487
484f20,r8,8052,2243,masked,,,,1,0,0.050506,34.82142857142857,65.17857142857143
48019a,rsi,8110,3653,masked,,,,1,0,0.050949,34.51327433628319,65.48672566371681
46fce0,r8,8140,8684,masked,,,,1,0,0.051177,34.21052631578947,65.78947368421052
456390,rflags,9217,8904,masked,,,,1,0,0.059389,33.91304347826087,66.08695652173913
461848,rsi,9257,11745,masked,,,,1,0,0.059694,34.48275862068966,65.51724137931035
4801a1,rsp,10589,7090,crash,,,,0,1,0.06985,34.18803418803419,65.8119658119658
426dfd,rsp,10711,6459,masked,,,,1,0,0.070781,34.74576271186441,65.2542372881356
455c88,rsp,11033,6198,crash,,,,0,1,0.073236,34.45378151260504,65.54621848739495
4115df,rcx,11536,7895,crash,,,,0,1,0.077071,34.166666666666664,65.83333333333333
461f41,r10,13014,1003,masked,,,,1,0,0.088341,34.710743801652896,65.2892561983471
427192,rflags,13534,6314,crash,,,,0,1,0.092305,34.42622950819672,65.57377049180327
461f41,xmm1,13780,7888,crash,,,,0,1,0.094181,34.959349593495936,65.04065040650407
47e79f,rsp,14261,8132,crash,,,,0,1,0.097849,34.67741935483871,65.3225806451613
42821e,rsi,14437,10127,masked,,,,1,0,0.099191,35.2,64.8
4115d6,rdx,14963,731,crash,,,,0,1,0.103201,34.92063492063492,65.07936507936508
461e90,r11,15023,6897,crash,,,,0,1,0.103659,35.43307086614173,64.56692913385827
