IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400fe4,rflags,31979,11,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,0.0,60.396039603960396,39.603960396039604
400ff5,rdx,353463,1792,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,0.157002,59.80392156862745,40.19607843137255
400ccc,rflags,501283,702,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,0.229192,60.19417475728155,39.80582524271845
400fe8,rdx,524829,2392,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,0.240692,60.57692307692308,39.42307692307692
4012eb,rflags,560484,540,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,0.258104,60.95238095238095,39.04761904761905
400fe0,rbp,588251,2000,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,0.271665,61.320754716981135,38.679245283018865
400cd2,rdi,605208,605,crash,<bpnn_adjust_weights._omp_fn.1>,cvtps2pd,"cvtps2pd, %xmm1,%xmm1",0,1,0.279946,61.6822429906542,38.3177570093458
400fd0,rax,651000,3341,masked,<bpnn_randomize_weights>,test,"test, %r12d,%r12d",1,0,0.302309,61.111111111111114,38.888888888888886
400fe8,rflags,672012,1577,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,0.312571,61.46788990825688,38.53211009174312
400cbe,rax,754936,2776,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,0.353068,60.90909090909091,39.09090909090909
400cc5,rflags,792880,2460,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",0,1,0.371599,60.36036036036036,39.63963963963964
400ff8,xmm0,814125,586,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,0.381974,59.82142857142857,40.17857142857143
400ff5,rflags,1180255,1704,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,0.56078,59.29203539823009,40.70796460176991
400fe0,rflags,1180667,1592,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,0.560981,59.64912280701754,40.35087719298246
400da6,rcx,1258013,1264,crash,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",0,1,0.598754,59.130434782608695,40.869565217391305
4012eb,rax,1365974,432,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,0.651479,58.62068965517241,41.37931034482759
400f89,rflags,1403662,1837,crash,<alloc_2d_dbl>,cmp,"cmp, %r12,%rbx",0,1,0.669884,58.97435897435897,41.02564102564103
400fe8,rbx,1535264,544,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,0.734154,59.32203389830509,40.67796610169491
400ff5,rcx,1658413,825,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,0.794296,58.8235294117647,41.1764705882353
400da1,rcx,1729345,885,masked,<bpnn_layerforward._omp_fn.0>,mulss,"mulss, (%rsi,%rax,4),%xmm0",1,0,0.828937,59.166666666666664,40.833333333333336
400f11,rdx,1779909,1588,masked,<alloc_1d_dbl>,shl,"shl, $0x2,%edi",1,0,0.853631,58.67768595041322,41.32231404958678
400cc5,rax,1820600,2889,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,0.873503,59.01639344262295,40.98360655737705
400d98,rax,1848892,1468,crash,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",0,1,0.88732,59.34959349593496,40.65040650406504
400ff5,rflags,1913460,3278,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,0.918853,59.67741935483871,40.32258064516129
4012eb,rflags,1957048,2029,crash,<bpnn_create>,cmp,"cmp, %ecx,%ebx",0,1,0.94014,59.2,40.8
400ff8,rbp,2056439,323,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,0.988679,59.523809523809526,40.476190476190474
400ccc,rdx,2165588,2675,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",0,1,1.041984,59.84251968503937,40.15748031496063
400cd0,xmm0,2200148,2828,crash,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",0,1,1.058862,59.375,40.625
400d98,rbx,2244734,3216,crash,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",0,1,1.080636,58.91472868217054,41.08527131782946
400cbe,rflags,2288966,2874,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,1.102237,58.46153846153846,41.53846153846154
400fe0,rflags,2372231,1026,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,1.142901,58.778625954198475,41.221374045801525
400fe0,rsp,2461203,2795,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,1.186352,59.09090909090909,40.90909090909091
400fe8,rflags,2516870,1353,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,1.213538,59.3984962406015,40.6015037593985
400daa,rcx,2670860,2198,crash,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",0,1,1.288742,59.701492537313435,40.298507462686565
400ff5,rax,2934188,3242,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,1.417342,60.0,40.0
400cbe,rbp,2958206,1420,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,1.429072,59.55882352941177,40.44117647058823
400ff5,rdx,3123989,3018,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,1.510035,59.85401459854015,40.14598540145985
400cc2,rbx,3322751,3263,crash,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",0,1,1.607104,60.14492753623188,39.85507246376812
4012e7,rsp,3326385,422,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,1.608878,60.431654676258994,39.568345323741006
400cf0,rax,3553070,1897,crash,<bpnn_adjust_weights._omp_fn.1>,unpcklpd,"unpcklpd, %xmm0,%xmm0",0,1,1.719584,60.714285714285715,39.285714285714285
400fe8,rcx,3594976,40,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,1.740049,60.283687943262414,39.716312056737586
400d98,rflags,3605145,1348,masked,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",1,0,1.745015,59.859154929577464,40.140845070422536
400cc5,xmm0,3625309,1147,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,1.754863,60.13986013986014,39.86013986013986
400cc5,xmm0,3748210,569,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,1.814884,60.416666666666664,39.583333333333336
400ff1,rbx,3946093,2653,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,1.911523,60.0,40.0
400cd0,xmm0,3974095,2404,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,1.925198,60.273972602739725,39.726027397260275
400cbb,xmm0,3999100,1641,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rdx",1,0,1.93741,60.54421768707483,39.45578231292517
400fe8,xmm0,4023646,174,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,1.949397,60.13513513513514,39.86486486486486
4011fc,rbx,4152629,1602,crash,<bpnn_free>,mov,"mov, (%rax,%rbp,8),%rdi",0,1,2.012388,60.40268456375839,39.59731543624161
400da6,rbp,4181788,24,crash,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",0,1,2.026629,60.666666666666664,39.333333333333336
4012e7,rbp,4297384,485,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,2.083082,60.9271523178808,39.0728476821192
400fe0,rcx,4342554,2851,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,2.105141,61.18421052631579,38.81578947368421
400cec,rdx,4356578,3154,masked,<bpnn_adjust_weights._omp_fn.1>,movss,"movss, (%rcx),%xmm1",1,0,2.11199,61.43790849673203,38.56209150326797
400fe8,xmm0,4372228,559,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,2.119633,61.688311688311686,38.311688311688314
400cd0,rcx,4440925,971,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,2.153183,61.29032258064516,38.70967741935484
400cf8,rcx,4614117,966,masked,<bpnn_adjust_weights._omp_fn.1>,addss,"addss, %xmm0,%xmm1",1,0,2.237764,61.53846153846154,38.46153846153846
4012e7,xmm0,4646364,2498,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,2.253512,61.78343949044586,38.21656050955414
400da6,xmm1,4719839,273,crash,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",0,1,2.289395,61.392405063291136,38.607594936708864
400fd0,xmm0,4731528,1275,masked,<bpnn_randomize_weights>,test,"test, %r12d,%r12d",1,0,2.295103,61.63522012578616,38.36477987421384
400ff8,rbx,4759467,2589,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,2.308748,61.25,38.75
400cc2,rcx,4793791,1320,crash,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",0,1,2.325511,60.869565217391305,39.130434782608695
