IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4008db,rsi,35992,1124,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca0,%esi",1,0,0.0,60.396039603960396,39.603960396039604
4008cf,rcx,48628,11318,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x34(%rsp),%rcx",0,1,0.005292,59.80392156862745,40.19607843137255
40090a,rcx,52179,2132,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x34(%rsp),%ecx",1,0,0.006779,59.22330097087379,40.77669902912621
4008f0,rdx,66323,2009,crash,<_Z8BFSGraphiPPc>,lea,"lea, (%r15,%rax,8),%rdx",0,1,0.012702,59.61538461538461,40.38461538461539
4008cf,rcx,109073,12761,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x34(%rsp),%rcx",0,1,0.030605,59.04761904761905,40.95238095238095
4008db,rsi,124311,5088,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca0,%esi",1,0,0.036987,59.43396226415094,40.56603773584906
4008f0,rdx,144126,7741,masked,<_Z8BFSGraphiPPc>,lea,"lea, (%r15,%rax,8),%rdx",1,0,0.045285,59.81308411214953,40.18691588785047
4008c8,rdi,156625,5113,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x2017b1(%rip),%rdi",0,1,0.05052,60.18518518518518,39.81481481481482
4008ec,r12,166048,10284,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,0.054466,60.55045871559633,39.44954128440367
4008f0,rdx,167413,12498,crash,<_Z8BFSGraphiPPc>,lea,"lea, (%r15,%rax,8),%rdx",0,1,0.055037,60.0,40.0
4008c8,rdi,169649,14426,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x2017b1(%rip),%rdi",0,1,0.055974,60.36036036036036,39.63963963963964
4008c8,rdi,185335,13005,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x2017b1(%rip),%rdi",0,1,0.062543,59.82142857142857,40.17857142857143
4008db,rsi,195888,11584,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca0,%esi",1,0,0.066962,59.29203539823009,40.70796460176991
4008e8,rcx,196000,11650,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x30(%rsp),%ecx",1,0,0.067009,59.64912280701754,40.35087719298246
4008db,rsi,208219,3059,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca0,%esi",1,0,0.072126,59.130434782608695,40.869565217391305
4008ec,r12,233445,2871,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,0.082691,59.48275862068966,40.51724137931034
40090a,rcx,241687,4952,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x34(%rsp),%ecx",1,0,0.086142,59.82905982905983,40.17094017094017
4008e5,rax,272438,469,masked,<_Z8BFSGraphiPPc>,mov,"mov, %r12d,%eax",1,0,0.09902,60.16949152542373,39.83050847457627
