IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42bea3,rcx,1352511,16,masked,<HPL_lmul>,mov,"mov, %esi,%edi",1,0,0,0.0,34.65346534653465,6.930693069306931,58.415841584158414,93.06930693069307
42be58,rdi,2089841,305,sdc,<HPL_lmul>,shr,"shr, $0x10,%ecx",0,0,1,0.15235,34.31372549019608,6.862745098039215,58.8235294117647,93.13725490196079
42be8f,r8,3126307,412,sdc,<HPL_lmul>,mov,"mov, %ebx,%edi",0,0,1,0.36651,33.980582524271846,7.766990291262136,58.25242718446602,92.23300970873787
42becd,rdi,5439949,13,masked,<HPL_lmul>,mov,"mov, -0x38(%rsp,%rcx,4),%ebx",1,0,0,0.844565,33.65384615384615,7.6923076923076925,58.65384615384615,92.3076923076923
420b54,rbx,6705369,69,masked,<HPL_setran>,mov,"mov, 0xa33ddd(%rip),%r9d",1,0,0,1.106032,34.285714285714285,7.619047619047619,58.095238095238095,92.38095238095238
420a98,r8,10390280,381,masked,<HPL_rand>,movzwl,"movzwl, %dx,%ecx",1,0,0,1.867424,33.9622641509434,7.547169811320755,58.490566037735846,92.45283018867924
42be10,rflags,10506362,124,sdc,<HPL_ladd>,shl,"shl, $0x10,%ecx",0,0,1,1.89141,34.57943925233645,7.4766355140186915,57.94392523364486,92.5233644859813
42be8c,rsi,10702333,7,masked,<HPL_lmul>,mov,"mov, -0x4(%rax),%ebx",1,0,0,1.931902,34.25925925925926,7.407407407407407,58.333333333333336,92.5925925925926
420ab4,r8,10865388,375,masked,<HPL_rand>,mulsd,"mulsd, %xmm4,%xmm0",1,0,0,1.965593,33.944954128440365,7.339449541284404,58.71559633027523,92.66055045871559
42be09,rax,11101848,437,sdc,<HPL_ladd>,sub,"sub, %r9d,%r8d",0,0,1,2.014452,33.63636363636363,7.2727272727272725,59.09090909090909,92.72727272727273
