IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
401980,r8,120484,129,crash,<create_matrix>,movslq,"movslq, %edx,%r8",0,1,0.0,78.21782178217822,21.782178217821784
401986,rcx,499818,722,masked,<create_matrix>,add,"add, $0x4,%rcx",1,0,0.14019,77.45098039215686,22.54901960784314
401983,rdx,1084350,494,masked,<create_matrix>,add,"add, $0x1,%edx",1,0,0.356215,77.66990291262135,22.33009708737864
401182,xmm1,1372858,230,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,0.462839,77.88461538461539,22.115384615384617
4010b0,rflags,1454803,448,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,0.493123,78.0952380952381,21.904761904761905
40117d,rdx,1626889,243,crash,<lud_omp._omp_fn.0>,add,"add, %rsi,%rdx",0,1,0.556721,78.30188679245283,21.69811320754717
4010ad,rdx,1669846,689,masked,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",1,0,0.572596,78.50467289719626,21.49532710280374
401092,rflags,1805209,498,masked,<lud_omp._omp_fn.1>,test,"test, %ebx,%ebx",1,0,0.622622,78.70370370370371,21.296296296296298
401170,xmm0,2273530,57,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,0.795699,78.89908256880734,21.10091743119266
401162,rflags,2311314,757,masked,<lud_omp._omp_fn.0>,test,"test, %ebx,%ebx",1,0,0.809663,78.18181818181819,21.818181818181817
4010a5,rax,2478888,889,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,0.871593,78.37837837837837,21.62162162162162
4010b0,rflags,2699466,438,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,0.953112,77.67857142857143,22.321428571428573
4010a9,xmm0,3266968,606,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,1.162843,77.87610619469027,22.123893805309734
4010b2,xmm1,3428628,372,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,1.222588,78.0701754385965,21.92982456140351
40117d,rdx,3620269,390,masked,<lud_omp._omp_fn.0>,add,"add, %rsi,%rdx",1,0,1.293412,77.3913043478261,22.608695652173914
4010b0,rflags,4036809,443,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,1.447353,77.58620689655173,22.413793103448278
401182,xmm1,4369527,703,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,1.570315,77.77777777777777,22.22222222222222
4010b2,xmm1,4397375,351,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,1.580607,77.96610169491525,22.033898305084747
4010a9,xmm0,4436530,471,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,1.595077,78.15126050420169,21.84873949579832
4010ad,rdx,4653471,851,masked,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",1,0,1.675252,77.5,22.5
4010a9,xmm0,4859765,44,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,1.751492,77.68595041322314,22.31404958677686
401170,xmm0,5076517,539,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,1.831597,77.8688524590164,22.131147540983605
4010b0,rflags,5219992,761,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,1.884621,78.04878048780488,21.951219512195124
4010a9,xmm0,5449768,770,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,1.969539,78.2258064516129,21.774193548387096
401180,rflags,5555974,149,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,2.008789,78.4,21.6
401182,xmm1,5949965,521,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,2.154396,78.57142857142857,21.428571428571427
401190,rdi,6003336,964,crash,<lud_omp._omp_fn.0>,add,"add, $0x4,%rdi",0,1,2.17412,78.74015748031496,21.25984251968504
4010a5,rax,6072777,139,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,2.199784,78.90625,21.09375
4010a5,rax,6304759,952,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,2.285517,79.06976744186046,20.930232558139537
401170,xmm0,6506536,901,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,2.360088,79.23076923076923,20.76923076923077
401170,xmm0,7442426,97,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,2.705964,79.38931297709924,20.610687022900763
401170,xmm0,7990566,986,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,2.908539,79.54545454545455,20.454545454545453
4010ad,rdx,8349969,128,crash,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",0,1,3.041363,79.69924812030075,20.30075187969925
401175,rax,8581509,811,crash,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",0,1,3.126934,79.1044776119403,20.895522388059703
4010b0,rflags,8651345,863,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,3.152743,79.25925925925925,20.74074074074074
401179,xmm0,8807259,186,masked,<lud_omp._omp_fn.0>,mulss,"mulss, (%rdx),%xmm0",1,0,3.210364,79.41176470588235,20.58823529411765
401175,rax,9062447,672,crash,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",0,1,3.304673,78.83211678832117,21.16788321167883
4010b0,rflags,9865377,837,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,3.601411,78.26086956521739,21.73913043478261
4010a5,rax,9880738,270,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,3.607088,78.41726618705036,21.58273381294964
