IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
40a7a6,rflags,21247,1161,masked,<_ZN6miniFE7get_idsIiEEviiiRK3BoxRSt6vectorIT_SaIS5_EEb>,cmp,"cmp, %ecx,%ebp",1,0,0.0,79.20792079207921,19.801980198019802
40a79a,rax,46651,4473,masked,<_ZN6miniFE7get_idsIiEEviiiRK3BoxRSt6vectorIT_SaIS5_EEb>,shr,"shr, $0x1f,%eax",1,0,0.00941,79.41176470588235,19.607843137254903
40a7e6,rbp,60780,242,crash,<_ZN6miniFE7get_idsIiEEviiiRK3BoxRSt6vectorIT_SaIS5_EEb>,add,"add, $0x1,%ebp",0,1,0.014643,79.6116504854369,19.41747572815534
40e232,rdx,103848,5644,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,mov,"mov, (%rax,%rbx,4),%edx",1,0,0.030596,79.8076923076923,19.23076923076923
40e23c,rdx,118333,10291,crash,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,mov,"mov, %rax,%rdx",0,1,0.035961,80.0,19.047619047619047
40e224,rbp,129571,12501,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,mov,"mov, %rbx,%rbp",1,0,0.040124,80.18867924528301,18.867924528301888
40e21b,rflags,137643,10594,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,cmp,"cmp, %rbp,%rax",1,0,0.043114,80.37383177570094,18.69158878504673
40e21b,rflags,143285,12588,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,cmp,"cmp, %rbp,%rax",1,0,0.045204,80.55555555555556,18.51851851851852
40e22e,rcx,143562,1485,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,mov,"mov, -0x4(%rax,%rbx,4),%ecx",1,0,0.045306,79.81651376146789,19.26605504587156
40e21b,rflags,156766,12466,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,cmp,"cmp, %rbp,%rax",1,0,0.050197,79.0909090909091,20.0
40e214,rax,172195,7118,masked,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,sub,"sub, %rdx,%rax",1,0,0.055912,79.27927927927928,19.81981981981982
40e22a,rbx,179623,11115,crash,<_ZN6miniFE20create_map_id_to_rowIiEEviiiRK3BoxRSt3mapIT_S5_St4lessIS5_ESaISt4pairIKS5_S5_EEE>,lea,"lea, 0x1(%rbp),%rbx",0,1,0.058664,78.57142857142857,20.535714285714285
40659b,rdx,203065,7529,crash,<_ZN6miniFE15find_row_for_idIiEET_S1_RKSt3mapIS1_S1_St4lessIS1_ESaISt4pairIKS1_S1_EEE>,mov,"mov, 0x10(%rsi),%rdx",0,1,0.067347,78.76106194690266,20.353982300884955
40a033,rsp,205618,2077,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,add,"add, $0x8,%rsp",0,1,0.068292,78.94736842105263,20.17543859649123
40ed94,rdi,212969,14381,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,mov,"mov, %r12d,%edi",1,0,0.071015,79.1304347826087,20.0
409f8e,r9,224416,3716,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,xor,"xor, %r9d,%r9d",1,0,0.075255,79.3103448275862,19.82758620689655
409f58,rbx,245090,12430,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, 0x10(%rdi),%rbx",0,1,0.082913,79.48717948717949,19.65811965811966
40eba6,rax,267669,7406,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,mov,"mov, 0x1c(%rsp),%eax",1,0,0.091276,79.66101694915254,19.491525423728813
409f61,r8,279292,1653,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, (%rsi),%r8d",1,0,0.095582,79.83193277310924,19.327731092436974
409fac,rbx,280608,6525,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,pop,"pop, %rbx",0,1,0.096069,80.0,19.166666666666668
409f91,rflags,323795,7517,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,test,"test, %rax,%rax",1,0,0.112066,80.16528925619835,19.00826446280992
4065bc,rflags,331306,13411,masked,<_ZN6miniFE15find_row_for_idIiEET_S1_RKSt3mapIS1_S1_St4lessIS1_ESaISt4pairIKS1_S1_EEE>,jne,"jne, 4065bc, <_ZN6miniFE15fin",1,0,0.114848,80.32786885245902,18.852459016393443
40ea95,rflags,357080,3296,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,test,"test, %al,%al",1,0,0.124395,80.48780487804878,18.69918699186992
40a033,rsp,393257,14309,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,add,"add, $0x8,%rsp",1,0,0.137795,80.64516129032258,18.548387096774192
40e962,rdi,396425,2066,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,mov,"mov, $0xffffffff,%edi",1,0,0.138968,80.8,18.4
40a01c,rdx,417214,6456,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,je,"je, 40a01c, <_ZNSt8_Rb_treeI",0,1,0.146669,80.95238095238095,18.253968253968253
40e960,rflags,420593,14441,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,test,"test, %ebx,%ebx",1,0,0.14792,81.10236220472441,18.11023622047244
409f82,rdx,422625,6397,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, 0x20(%rbx),%edx",1,0,0.148673,80.46875,18.75
40a01f,rcx,423779,11008,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, %rbp,%rcx",0,1,0.149101,80.62015503875969,18.6046511627907
409f82,rdx,439543,3146,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, 0x20(%rbx),%edx",1,0,0.15494,80.0,19.23076923076923
40a037,rax,445713,10748,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, %rbx,%rax",1,0,0.157225,80.1526717557252,19.083969465648856
409f8e,r9,448187,3674,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,xor,"xor, %r9d,%r9d",1,0,0.158141,80.3030303030303,18.939393939393938
40e7a0,rflags,452926,4283,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,test,"test, %ebx,%ebx",1,0,0.159897,80.45112781954887,18.796992481203006
409f4e,rsp,454563,13054,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,push,"push, %rbp",0,1,0.160503,80.59701492537313,18.65671641791045
40a03e,rsp,474313,5028,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,pop,"pop, %r13",0,1,0.167819,80.74074074074075,18.51851851851852
40e640,rax,481317,6050,masked,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,shr,"shr, $0x1f,%eax",1,0,0.170413,80.88235294117646,18.38235294117647
409f53,rsp,481513,3175,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,push,"push, %rbx",0,1,0.170486,81.02189781021897,18.248175182481752
409f8e,r9,481742,2819,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,xor,"xor, %r9d,%r9d",1,0,0.17057,81.15942028985508,18.115942028985508
409f82,rdx,485388,5730,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, 0x20(%rbx),%edx",1,0,0.171921,81.29496402877697,17.985611510791365
409f85,rflags,493232,26,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,cmp,"cmp, %r8d,%edx",1,0,0.174826,81.42857142857143,17.857142857142858
40e61d,rsi,502873,7324,crash,<_ZN6miniFE23simple_mesh_descriptionIiEC1ERK3BoxS4_>,lea,"lea, 0x40(%rsp),%rsi",0,1,0.178398,81.56028368794327,17.73049645390071
409f91,rflags,503602,281,masked,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,test,"test, %rax,%rax",1,0,0.178668,81.69014084507042,17.6056338028169
409f99,r13,529838,8534,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, %rbx,%r13",0,1,0.188386,81.81818181818181,17.482517482517483
409f7f,rbx,553351,674,crash,<_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE16_M_insert_uniqueERKi>,mov,"mov, %rax,%rbx",0,1,0.197095,81.94444444444444,17.36111111111111
